venue,innings,batting_team,bowling_team,total_runs
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,61
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,26
"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,53
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,56
Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,40
Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,55
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,47
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,40
Eden Gardens,1,Deccan Chargers,Kolkata Knight Riders,39
Eden Gardens,2,Kolkata Knight Riders,Deccan Chargers,26
Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,54
Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,53
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,25
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,44
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,52
"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,52
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Rajasthan Royals,57
"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Deccan Chargers,73
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,56
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,39
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,57
M Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,45
"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,Chennai Super Kings,61
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kolkata Knight Riders,45
Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,27
Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,59
"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,Kings XI Punjab,45
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Delhi Daredevils,55
M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,36
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,45
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,40
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,38
Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,58
Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,55
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Kings XI Punjab,50
"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Deccan Chargers,41
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,45
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,51
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,47
"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,64
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,41
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,43
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,49
"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,31
Dr DY Patil Sports Academy,1,Mumbai Indians,Delhi Daredevils,50
Dr DY Patil Sports Academy,2,Delhi Daredevils,Mumbai Indians,37
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,38
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,44
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,26
M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,52
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Deccan Chargers,34
"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,Chennai Super Kings,50
Dr DY Patil Sports Academy,1,Rajasthan Royals,Mumbai Indians,48
Dr DY Patil Sports Academy,2,Mumbai Indians,Rajasthan Royals,34
Feroz Shah Kotla,1,Delhi Daredevils,Chennai Super Kings,50
Feroz Shah Kotla,2,Chennai Super Kings,Delhi Daredevils,58
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,41
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,35
Sawai Mansingh Stadium,1,Deccan Chargers,Rajasthan Royals,50
Sawai Mansingh Stadium,2,Rajasthan Royals,Deccan Chargers,50
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,36
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,39
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kings XI Punjab,51
"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,Chennai Super Kings,35
"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Deccan Chargers,43
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kolkata Knight Riders,52
Sawai Mansingh Stadium,1,Delhi Daredevils,Rajasthan Royals,47
Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Daredevils,21
"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,Kings XI Punjab,50
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Royal Challengers Bangalore,42
Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,35
Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,37
Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,28
Wankhede Stadium,2,Mumbai Indians,Chennai Super Kings,78
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,51
"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,38
Feroz Shah Kotla,1,Delhi Daredevils,Deccan Chargers,48
Feroz Shah Kotla,2,Deccan Chargers,Delhi Daredevils,71
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,27
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,68
Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,68
Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,73
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,51
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,23
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Deccan Chargers,57
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Mumbai Indians,28
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,35
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,43
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,41
M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,71
Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,32
Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,42
Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,43
